"Counting","CITP Australian Citizenship","CED (UR)","AGEP Age","Count",
"Persons, Place of Usual Residence","Australian","Lalor","20",2137
"Persons, Place of Usual Residence","Australian","Lalor","21",2056
"Persons, Place of Usual Residence","Australian","Lalor","22",2038
"Persons, Place of Usual Residence","Australian","Lalor","23",1900
"Persons, Place of Usual Residence","Australian","Lalor","24",1978
"Persons, Place of Usual Residence","Australian","Lalor","25",1953
"Persons, Place of Usual Residence","Australian","Lalor","26",2029
"Persons, Place of Usual Residence","Australian","Lalor","27",2020
"Persons, Place of Usual Residence","Australian","Lalor","28",2260
"Persons, Place of Usual Residence","Australian","Lalor","29",2374
"Persons, Place of Usual Residence","Australian","Lalor","30",2588
"Persons, Place of Usual Residence","Australian","Mallee","15",1640
"Persons, Place of Usual Residence","Australian","Mallee","16",1641
"Persons, Place of Usual Residence","Australian","Mallee","17",1702
"Persons, Place of Usual Residence","Australian","Mallee","18",1496
"Persons, Place of Usual Residence","Australian","Mallee","19",1236
"Persons, Place of Usual Residence","Australian","Mallee","20",1220
"Persons, Place of Usual Residence","Australian","Mallee","21",1228
"Persons, Place of Usual Residence","Australian","Mallee","22",1211
"Persons, Place of Usual Residence","Australian","Mallee","23",1241
"Persons, Place of Usual Residence","Australian","Mallee","24",1319
"Persons, Place of Usual Residence","Australian","Mallee","25",1357
"Persons, Place of Usual Residence","Australian","Mallee","26",1298
"Persons, Place of Usual Residence","Australian","Mallee","27",1245
"Persons, Place of Usual Residence","Australian","Mallee","28",1211
"Persons, Place of Usual Residence","Australian","Mallee","29",1129
"Persons, Place of Usual Residence","Australian","Mallee","30",1176
"Persons, Place of Usual Residence","Australian","Maribyrnong","15",1569
"Persons, Place of Usual Residence","Australian","Maribyrnong","16",1615
"Persons, Place of Usual Residence","Australian","Maribyrnong","17",1527
"Persons, Place of Usual Residence","Australian","Maribyrnong","18",1549
"Persons, Place of Usual Residence","Australian","Maribyrnong","19",1628
"Persons, Place of Usual Residence","Australian","Maribyrnong","20",1724
"Persons, Place of Usual Residence","Australian","Maribyrnong","21",1827
"Persons, Place of Usual Residence","Australian","Maribyrnong","22",1754
"Persons, Place of Usual Residence","Australian","Maribyrnong","23",1830
"Persons, Place of Usual Residence","Australian","Maribyrnong","24",1726
"Persons, Place of Usual Residence","Australian","Maribyrnong","25",1754
"Persons, Place of Usual Residence","Australian","Maribyrnong","26",1738
"Persons, Place of Usual Residence","Australian","Maribyrnong","27",1731
"Persons, Place of Usual Residence","Australian","Maribyrnong","28",1707
"Persons, Place of Usual Residence","Australian","Maribyrnong","29",1610
"Persons, Place of Usual Residence","Australian","Maribyrnong","30",1768
"Persons, Place of Usual Residence","Australian","McEwen","15",2420
"Persons, Place of Usual Residence","Australian","McEwen","16",2499
"Persons, Place of Usual Residence","Australian","McEwen","17",2509
"Persons, Place of Usual Residence","Australian","McEwen","18",2365
"Persons, Place of Usual Residence","Australian","McEwen","19",2289
"Persons, Place of Usual Residence","Australian","McEwen","20",2246
"Persons, Place of Usual Residence","Australian","McEwen","21",2186
"Persons, Place of Usual Residence","Australian","McEwen","22",2108
"Persons, Place of Usual Residence","Australian","McEwen","23",2131
"Persons, Place of Usual Residence","Australian","McEwen","24",2176
"Persons, Place of Usual Residence","Australian","McEwen","25",2314
"Persons, Place of Usual Residence","Australian","McEwen","26",2237
"Persons, Place of Usual Residence","Australian","McEwen","27",2222
